distance	query	complete_suggestion	full_complete
1	м 2.05	2.05	полиэтилентерефталат 2 мм 2.05 х 2.05 м прозрачный
2	tv 2а	2а	ем 2а раза в день утром и вечером
2	сн 64	64	citizen cy 64
1	фентези	феңтези	феңтези фильмы 2017 2018
0	дивансофа юлия	диван софа юлия	диван софа юлия фабрика производитель
1	н 59	59	приказ минтруда 59 н от 06 02 2018
2	мн 49	мн	стекло при погружении в чистую воду стало легче на 49 мн
1	5.13z	5.13	сп 5.13
0	стол письменный двух тумбовый	стол письменный двухтумбовый	стол письменный двухтумбовый купить в москве
2	стеллаж круз	стеллаж круз-1	стеллаж круз-1
1	Св 7	св	лада веста св кросс 7 местная
0	дешевыйдиван	дешевый диван	дешевый диван купить в москве
2	еп 01	01	16.9-28 cultor industrial 40 tg 01 12pr tl
0	матрасаскона	матрас аскона	матрас аскона официальный сайт
