distance	query	complete_suggestion	full_complete
2	Кресло анна	кресло анна-1	кресло анна-1
1	Комод км-	комод км-1	комод км-1
1	комод сраспашными дверками	комод с распашными дверцами	купить комод с распашными дверцами
0	Кресло анна	кресло анна	кресло анна
1	комод сраспашными дверками	комод с распашными дверцами	комод с распашными дверцами
1	Кровать 200 200	кровать 200 х 200	кровать 200 х 200
1	матрас с детский	матрас детский	матрас детский с кокосовой стружкой цена
1	матрас классик э	матрас классик	матрас классик симпл э
2	Мамбо сб	мамбо	мамбо сб-2678 шкаф угловой
1	матрас с детский	матрас детский	матрас детский с кокосовым наполнителем
0	МебельМаркет	мебель маркет	мебель маркет белгород
0	МебельМаркет	мебельмаркет	мебельмаркет 31
1	матрас с детский	матрас детский	матрас детский с кокосовой стружкой
2	кухонный уголок этюд 2	кухонный уголок этюд 2-1	кухонный уголок этюд 2-1
2	Матрас 800-2000	матрас 800 на 2000	матрас 800 на 2000
2	Ксенья 2	ксения	ксения собчак дом 2
1	мек-ко	мек и ко	мек и ко
2	Мамбо сб	мамбо	мамбо сб-2372 кровать
2	пенал ск	пенал ск-9	пенал ск-9
1	набор диван два кресла	набор диван и два кресла	набор диван и два кресла
0	минидиван	мини диван	мини диван на кухню
1	прихожая престиж 5	прихожая престиж 1 5	прихожая престиж 1 5
2	Оскар-7А Модена	оскар 7 модена	оскар 7 модена
2	Набор мебели Браво	набор мебели браво-1	набор мебели браво-1
2	оскар-7а модена	оскар 7 модена	оскар 7 модена
2	Прованс ТД	прованс	тд прованс липецк
0	минидиван	мини диван	мини диван раскладной
2	обеденная группа №1	обеденная группа	обеденная группа тип 1
2	моника-2	моника	матрица 2 моника беллуччи
2	онега шк	онега	онега школа 1
2	мш-02	мш-2-02	мш-2-02
2	моника-2	моника	моника мерфи правила 2
2	моника-2	моника	моника той 2 сезон
1	пенал ск	пенал скш	пенал скш селина
2	обеденная группа №1	обеденная группа	обеденная группа ог-1 сборка
0	минидиван	мини диван	купить мини диван
2	Обеденная группа №2	обеденная группа	обеденная группа тип 2
2	стол №8	стол no8	стол no8 меню на неделю
2	Стол компьютерный №7	стол компьютерный	стол компьютерный костер 7
2	СН 57	сн 7-57	сн 7-57
2	стол журнальный №6	стол журнальный	стол журнальный маджеста 6
0	стеллаж с5	стеллаж с5	стеллаж с5
2	стенка со вставками кожи	стенка со вставками из кожи	стенка со вставками из кожи
1	стол журнальный 3d	стол журнальный с 3d	стол журнальный с 3d эффектом
2	стеллаж с5	стеллаж с5-8	стеллаж с5-8
1	стул с 6	стул 6	стул 6 месячного ребенка
1	стул с 2	стул 2	стул 2 месячного ребенка на гв
1	стол письменный м	стол письменный 1 м	стол письменный 1 м
2	стул с-2	стул 2	стул 2 раза в день
2	Тумба п 5	тумба	тумба 800 мд п-5
0	стол журнальный маджеста	стол журнальный маджеста	стол журнальный маджеста
2	угловые в кухню	угловые кухни	угловые кухни в хрущевке с холодильником
2	стол №8	стол no8	стол no8 по певзнеру
2	Стол журнальный №6	стол журнальный	стол журнальный консул 6
2	Стол компьютерный №5	стол компьютерный	стол компьютерный комфорт 5
2	стол обеденный 10	стол обеденный	стол обеденный орфей 10
2	стул с-2	стул 2	стул 2 месячного ребенка на гв
1	стул с 2	стул 2	стул 2 раза в день
0	Строй материалы	стройматериалы	стройматериалы нижний новгород
2	стол журнальный №6	стол журнальный	стол журнальный консул 6
2	софия 1,6	софия 1	софия 1 сезон 6 серия
2	стол компьютерный с надстройкой сп-3 пск-3 6 лик	стол компьютерный с надстройкой сп-3 пск-3 6 лик-5	стол компьютерный с надстройкой сп-3+пск-3/6 лик-5
2	угловые в кухню	угловые кухни	угловые кухни в хрущевке
2	стол компьютерный №7	стол компьютерный	стол компьютерный костер 7
1	стол компьютерный 7	стол компьютерный	стол компьютерный костер 7
1	стул с 2	стул 2	стул 2 месячного ребенка
2	тумба 2а	тумба	тумба tv-2а мк стиль
2	стол №1	стол no1	стол no1 диета
2	софия 1,6	софия 1	сериал софия 1 сезон 6 серия
2	Туалетный столик №2 Трельяж	туалетный столик трельяж	туалетный столик трельяж мд no 2 цвет венге/дуб
2	стенка соло-10а	стенка соло 10	стенка соло 10
1	стол письменный м	стол письменный	стол письменный м-кс 1
2	сн 64	сн 64-1	сн 64-1
2	Стол журнальный №6	стол журнальный	стол журнальный маджеста 6
2	стол №1	стол no1	стол no1 рецепты
2	стол обеденный 10	стол обеденный на 10	стол обеденный на 10 персон
1	стул с 6	стул с	стул с подлокотниками 6 букв
2	стол журнальный маджеста	стол журнальный маджеста-8	стол журнальный маджеста-8
2	стол №1	стол no1	стол no1 меню на неделю
2	стол №8	стол no8	стол no8 питание при ожирении
2	СН 57	сн 8-57	сн 8-57
2	Стол компьютерный с надстройкой №5	стол компьютерный с надстройкой	стол компьютерный с надстройкой сп-3+пск-3/6 лик-5
1	стенка соло-10а	стенка соло 10а	стенка соло 10а
2	стул с-2	стул 2	стул 2 месячного ребенка
2	стенка соло-10а	стенка соло 10	стенка соло 10 отзывы
0	Шкаф икровать	шкаф и кровать	шкаф и кровать вместе
0	Шкаф икровать	шкаф и кровать	шкаф и кровать
2	шкаф комбинированный дебют	шкаф комбинированный дебют-5	шкаф комбинированный дебют-5
1	ямайка 4	ямайка	ямайка на мамайке 4
1	Шкаф 3-створчатый Фиеста	шкаф 3-х створчатый фиеста	шкаф 3-х створчатый фиеста
0	Шкаф икровать	шкаф и кровать	шкаф и кровать в детскую
1	ямайка 4	ямайка	ямайка птичка 4 буквы
1	Шкаф комбинированный Кармен-7Н	шкаф комбинированный кармен-7	шкаф комбинированный кармен-7
