distance	query	complete_suggestion	full_complete
0	Сафа	сафа	сафа гирей
0	ВОСК	воск	воск для волос
0	бюро	бюро	бюро кредитных историй
0	стол стеклянный	стол стеклянный	стол стеклянный круглый
1	524 н	524 6	н 524 6 класс
0	Яна	яна	яна кошкина
0	габриэла	габриэла	габриэла сари
0	Напольные ширмы	напольные ширмы	напольные ширмы в детском саду
1	Орлекино	арлекино	арлекино жар птица
0	Надувная мебель	надувная мебель	надувная мебель купить
0	Жак	жак	жак фреско
0	дженни	дженни	дженни слейт
0	7.18	7.18	7.18 пдд
0	Кресло игровое ZET Chaos guard 100K	кресло игровое zet chaos guard 100k	кресло игровое zet chaos guard 100k белый
0	кухня чарли	кухня чарли	кухня чарли белдрев
0	бемби	бемби	бемби 2
0	вероника кухня	вероника кухня	вероника кухня
0	ирис	ирис	ирис арзамас
0	диван прадо угловой	диван прадо угловой	диван прадо угловой
0	Кресло College	кресло college	кресло college clg-801lxh
0	Скалия	скалия	скалия судья
1	мебель из ротанда	мебель из ротанга	мебель из ротанга
0	Юнга	юнга	юнга нижний новгород
0	Гостиная янг	гостиная янг	гостиная янг белый блеск
1	Н87	y87	y87 корабль
0	люстра	люстра	люстра чижевского
0	сапфир	сапфир	сапфир цена
0	стол визажиста	стол визажиста	стол визажиста нижний новгород
0	боска	боска	боска цена
0	Диван Фурор	диван фурор	диван фурор 2
2	угловой диваны кожаные	угловые диваны кожаные	угловые диваны кожаные
0	Фартук	фартук	фартук для кухни
0	Papasan	papasan	papasan chair
0	форум	форум	форум винского
0	Апатиты	апатиты	апатиты это
0	маврин	маврин	маврин пророк
0	т 9	т 9	т 9 это
0	м11	м11	м11 форма
0	ПОДЪЕМНАЯ КРОВАТЬ	подъемная кровать	подъемная кровать купить
2	Шк-2	ir-2	ir-2 immigrant visa
0	В22	в22	в22 5
0	в18	в18	в18 мкб
1	ламино	амино	амино форте
0	ротанга	ротанга	ротанга мебель
1	Броссель	дроссель	дроссель это
0	с2	с2	с2 групп
0	Сушилка для посуды	сушилка для посуды	сушилка для посуды икеа
0	Дотом	дотом	озеро с дотом
0	уау	уау	уау уау песня
0	виго	виго	виго мебель
0	венета	венета	венета картофель
1	кантри школы	кантри школа	кантри школа
0	в4	в4	в4 категория
0	балтика	балтика	балтика 9
0	маэс	маэс	маэс хьюз
0	8.15	8.15	8.15 на английском
0	9.07	9.07	9.07 знак зодиака
0	Секретер	секретер	секретер это
0	диван не разборный	диван не разборный	диван не разборный
1	майми	майами	майами хит
1	Н61	y61	y61 nissan patrol
0	елка	елка	елка певица
0	джордан	джордан	джордан белфорт
0	Мат	мат	мат легаля
0	грация	грация	грация это
0	Км	км	км по биатлону 2018 19
0	эмили	эмили	эмили блант
0	Героев	героев	героев космоса
1	кресло качалка их ротанга	кресло качалка из ротанга	кресло качалка из ротанга
0	карнизы для окон	карнизы для окон	карнизы для окон со скосом
0	с6	с6	с6 самсунг
0	манхэттен	манхэттен	манхэттен фильм
0	Стеклянный шкаф	стеклянный шкаф	стеклянный шкаф купе
0	фелиция	фелиция	фелиция харди
0	Диван серж	диван серж	диван серж омск
0	полки настенные	полки настенные	полки настенные фото
0	недорогую стенку	недорогую стенку	купить недорогую стенку
0	промокод	промокод	промокод озон
0	кардон	кардон	кардон это
1	Эллина	элина	элина имя
0	марк 6	марк 6	марк 6 железный человек
0	детская кровать тачки	детская кровать тачки	детская кровать тачки купить
0	поло 1	поло 1	поло 1 4 отзывы
0	Пассаж	пассаж	пассаж нижний новгород
1	котакота	котокота	котокота стул
1	Алегро	аллегро	аллегро пл
1	андора	андорра	андорра на карте
0	Балкон прихожая	балкон прихожая	балкон прихожая
0	Диван-кровать филателия	диван-кровать филателия	диван-кровать филателия
0	Купить кровать Афина	купить кровать афина	купить кровать афина 2
0	Romack Kiddy	romack kiddy	romack kiddy
0	2.01	2.01	2.01 paladins
0	9.52	9.52	9.52 usd
0	ванная	ванная	ванная комната
0	дубай	дубай	дубай погода
1	кресло реклаймер	кресло реклайнер	кресло реклайнер
0	Кухонный уголок Консул 2	кухонный уголок консул 2	кухонный уголок консул 2 сборка
2	В3В	d3d	d3d error
0	магна	магна	магна нижний новгород
0	диван Прогулка по Таллину	диван прогулка по таллину	диван прогулка по таллину
0	мдф дуб шамбор	мдф дуб шамбор	мдф дуб шамбор
0	раскладушку	раскладушку	раскладушку купить
0	Прихожая Вирджиния	прихожая вирджиния	прихожая вирджиния пинскдрев
0	Каролина	каролина	каролина оттава прогноз
2	шк-	ir	ir- prefix words
0	тон	тон	тон это
0	барная стойка складная	барная стойка складная	барная стойка складная
1	дешовый диван	дешевый диван	дешевый диван
0	9.57	9.57	9.57 фоновые задания позволяют
0	П-1	п-1	п-1 статистика
0	н54	н54	н54 бмв
0	октавиан	октавиан	октавиан август
0	камелот	камелот	камелот дзержинск
1	Пуфф	пуф	пуф это
1	Стелажи для зонирования	стеллажи для зонирования	стеллажи для зонирования комнаты
0	sl	sl	sl boats
2	СН 57	7 57	сн 7-57 скачать
0	тохта	тохта	тохта это
0	ман	ман	ман сити
0	инга	инга	инга оболдина
0	Кристалл	кристалл	кристалл дзержинск
1	Мийя 2	мия 2	мама мия 2
1	софу юлия	софа юлия	софа юлия
2	любв	любовь	любовь успенская
2	ореон	арион	арион пушкин
0	климат	климат	климат это
0	клер	клер	клер фой
0	Анкора	анкора	анкора песня
0	каспия	каспия	каспия это
0	7.22	7.22	7.22 коап
0	Стол круглый стеклянный	стол круглый стеклянный	стол круглый стеклянный раздвижной
0	Диван бентон	диван бентон	диван бентон
0	бэлла	бэлла	бэлла рубинштейн
0	Кровать для новорожденного	кровать для новорожденного	кровать для новорожденного своими руками
0	готовая мебель	готовая мебель	готовая мебель нижний новгород
0	Раковина	раковина	раковина для ванной
0	Балтика	балтика	балтика 9
0	эко	эко	эко это
0	ШКУ	шку	шку бул
0	нова	нова	нова телеком
0	Simple	simple	simple перевод
0	06.11	06.11	06.11 знак зодиака
0	спортивная стенка	спортивная стенка	спортивная стенка для дома
0	валерия	валерия	валерия федорович
0	авторизация	авторизация	авторизация это
0	дора	дора	дора пушка
0	5.01	5.01	5.01 знак зодиака
1	Сиена	сиенна	сиенна миллер
0	белая гостинная	белая гостинная	белая гостинная фото
1	спальный гарнитур до винчи	спальный гарнитур да винчи	спальный гарнитур да винчи
1	Комод тера	комод терра	комод терра
0	Этажерка для обуви	этажерка для обуви	этажерка для обуви своими руками
0	Панно с зеркалом	панно с зеркалом	панно с зеркалом
0	н64	н64	н64 ромы
0	06.41	06.41	06.41 north
0	1.05	1.05	1.05 долларов в рублях
0	БРИСТОЛЬ	бристоль	бристоль экспресс
0	рекламация	рекламация	рекламация это
1	Белла гостиная	бэлла гостиная	бэлла гостиная
0	диван варшава	диван варшава	диван варшава харьков
0	лоредо	лоредо	лоредо цвет
1	форест	форрест	форрест гамп
1	Закалённое стекло на стол	закаленное стекло на стол	закаленное стекло на стол
0	ДВУХМЕСТНАЯ КРОВАТЬ	двухместная кровать	двухместная кровать размеры
0	далла	далла	далла кьеза
2	Кровать с ортопед	кровать с ортопедом	кровать с ортопедом
0	эджи	эджи	эджи санс
0	хай	хай	хай тек
1	н59	y59	y59 a 130c
2	ШК-1	ir-1	ir-1 nist
0	бар	бар	бар нижний новгород
0	Невинномысск	невинномысск	невинномысск время
1	Джоя 2	джой 2	джой 2
0	Перегородки для зонирования	перегородки для зонирования	перегородки для зонирования купить
0	Подвесной комод	подвесной комод	подвесной комод в спальню
1	Мэдиссон	мэдисон	мэдисон твич
0	с 4	с 4	с 4 месяцами
0	ИЗО	изо	изо всех сил
0	картины	картины	картины по номерам
0	1.04	1.04	1.04 знак зодиака
0	Sherlock	sherlock	sherlock holmes
0	Пуф	пуф	пуф 52
1	шкаф-купе столплит	шкаф-купе столплит	шкаф купе столплит
1	лайк 2	лайка 2	лайка 2 месяца
0	16.06	16.06	16.06 знак зодиака
0	3.01	3.01	3.01 что такое электромагнитная волна
0	адрес	адрес	адрес деда мороза
0	Шкаф в ванную	шкаф в ванную	шкаф в ванную икеа
0	прихожая Ханна	прихожая ханна	прихожая ханна отзывы
0	Самовывоз	самовывоз	самовывоз это
0	ковер	ковер	ковер проверочное слово
1	в34	d34	d34 мкб
0	бриз	бриз	бриз это
0	диван дубай	диван дубай	диван дубай люкс
1	Столы расклодные	столы раскладные	столы раскладные купить
1	Канди	кенди	кенди бар
0	майорка	майорка	майорка погода
0	фосфорит	фосфорит	фосфорит формула
0	gh	gh	gh это
0	винтаж шкаф	винтаж шкаф	винтаж шкаф
0	06.104	06.104	ови 06.104
0	disavi	disavi	disavi мебель
1	диван Орланда	диван орландо	диван орландо
0	Игровые кресла	игровые кресла	игровые кресла днс
0	Заказ звонка	заказ звонка	заказ звонка с сайта
0	подать заявку на брак	подать заявку на брак	подать заявку на брак онлайн
0	энгри	энгри	энгри бердс в кино
0	Матрас sonberry	матрас sonberry	матрас sonberry отзывы
0	Стол хохлома	стол хохлома	стол хохлома цена
0	кухни со скидкой	кухни со скидкой	кухни со скидкой выставочные образцы
0	мамбо	мамбо	мамбо текст
0	валенсия	валенсия	валенсия фк
0	паола	паола	паола рейна
2	подсушитель	осушитель	осушитель воздуха
0	САНУМ	санум	санум кутис
0	габриэлл	габриэлл	габриэлл тина
0	мелани	мелани	мелани лоран
0	Афина	афина	афина бог чего
0	арфа	арфа	арфа купить
0	Кровать с бортиками	кровать с бортиками	кровать с бортиками купить
0	мой заказ	мой заказ	мой заказ додо
1	Мягкие пуфики мешкм	мягкие пуфики мешки	мягкие пуфики мешки
1	Н65	y65	y65 vivo
0	акции на мебель	акции на мебель	акции на мебель нижний новгород
0	набор мебели из ротанга	набор мебели из ротанга	набор мебели из ротанга
0	Кресло игровое	кресло игровое	кресло игровое купить
0	Раскладные кровати	раскладные кровати	раскладные кровати купить
0	Шведская стенка	шведская стенка	шведская стенка купить
0	миндаль	миндаль	миндаль калорийность
0	Гранд кволити	гранд кволити	гранд кволити мебель
0	гардины	гардины	гардины икеа
0	пуфики	пуфики	пуфики нижний новгород
0	Оска	оска	оска это
0	2.2	2.2	2.2 диметилпентан
0	сюрприз	сюрприз	сюрприз бокс
0	Dt 445	dt 445	dt 445
0	двухярусные кровати	двухярусные кровати	двухярусные кровати икея
0	Саманта	саманта	саманта фокс
0	Ванная комната	ванная комната	ванная комната фото
0	жак	жак	жак фреско
0	Строй	строй	строй нн
0	Консул 2	консул 2	консул 2 прихожая
0	5.017	5.017	5.017 kess
0	спб стол	спб стол	спб стол находок
0	консольный столик	консольный столик	консольный столик купить
0	варшава	варшава	варшава столица
0	мале	мале	мале время
0	Н97	н97	н97 нокиа
0	архивный	архивный	архивный файл представляет собой
0	тумба под раковину	тумба под раковину	тумба под раковину в ванную
0	Рапунцель	рапунцель	рапунцель новая история
0	Ребека	ребека	ребека коха
0	Арабика	арабика	арабика кофе
0	шкаф четырехдверный	шкаф четырехдверный	шкаф четырехдверный белый
0	вилора	вилора	вилора имя
0	ривера	ривера	ривера феникса
1	Арсения 5	арсений 5	арсений 5 лет
0	в19	в19	в19 парвовирусная инфекция
0	5.013	5.013	5.013 in scientific notation
0	Гостиная ксено	гостиная ксено	гостиная ксено
0	кровать чердак корсар 1	кровать чердак корсар 1	кровать чердак корсар 1
1	Кухня вайт	кухня вайта	кухня вайта
0	мега	мега	мега магазины
0	моно	моно	моно это
1	Облоко	облако	облако в штанах
0	сервировочный столик	сервировочный столик	сервировочный столик на колесах
0	эйва	эйва	эйва аватар
0	спартак	спартак	спартак павлово
0	Н82	н82	н82 нокиа
0	8.041	8.041	slr 8.041
0	ибица	ибица	ибица клип
0	какая улица	какая улица	какая улица у деда мороза
0	11.09	11.09	11.09 знак зодиака
1	duf-18	duf-18	duf 18
1	тофи	тоффи	тоффи
0	сервировочный стол	сервировочный стол	сервировочный стол икеа
1	Столик сервировачный	столик сервировочный	столик сервировочный на колесах
1	н87	y87	y87 корабль
0	Елисей	елисей	елисей имя
0	миланский орех	миланский орех	миланский орех цвет
0	Кровать ЛДСП со штапиком	кровать лдсп со штапиком	кровать лдсп со штапиком
0	эмполи	эмполи	эмполи фк
0	доменик	доменик	доменик ломбардоззи
0	Тюфяк	тюфяк	тюфяк это
0	кельн	кельн	кельн фк
0	для пеленания	для пеленания	для пеленания доска
0	диван со столиком в подлокотнике	диван со столиком в подлокотнике	диван со столиком в подлокотнике спб
0	тумба для ванной комнаты без раковины	тумба для ванной комнаты без раковины	тумба для ванной комнаты без раковины
0	СТОЛ КНИГА	стол книга	стол книга купить
0	ЭКО	эко	эко это
0	шезлонг	шезлонг	шезлонг детский
1	каска	казка	казка плакала
2	соня-3	сотня-3	сотня 3 сезон
0	мд	мд	мд регион
0	кресло папасан	кресло папасан	кресло папасан купить
1	Шкф	шкаф	шкаф купе
0	1.01	1.01	1.01 в степени 365
0	зефир	зефир	зефир состав
0	К-8	к-8	к-8 применение производной
0	angry	angry	angry birds
0	4.01	4.01	4.01 праздник
2	ск-9	cr-9	cr-9 suppressor
0	Кресло парикмахерское	кресло парикмахерское	кресло парикмахерское купить
1	Н94	y94	y94 mercedes
0	яна	яна	яна кошкина
0	лия	лия	лия ахеджакова
0	разноцветные	разноцветные	разноцветные волосы
0	06.02	06.02	06.02 знак зодиака
0	16.21	16.21	16.21 коап
0	магазин в зао	магазин в зао	оружейный магазин в зао
0	мэдисон	мэдисон	мэдисон бир
0	стеклянный стол обеденный	стеклянный стол обеденный	стеклянный стол обеденный
0	стол подвесной	стол подвесной	стол подвесной к стене
0	k15	k15	k15 imc
0	h97	h97	h97 plus
0	сушилка	сушилка	сушилка для посуды
0	Доставка	доставка	доставка еды
1	фиета	фета	фета сыр
2	км-02	rv-02	rv-02 yokohama
0	3.02	3.02	3.02 знак зодиака
0	стеллаж красного цвета	стеллаж красного цвета	стеллаж красного цвета
0	Евротахта	евротахта	евротахта шаговый механизм
0	2.10	2.10	2.10 коап
0	аврова 24	аврова 24	аврова 24
0	для новорожденных	для новорожденных	для новорожденных на выписку
0	раскладные столы	раскладные столы	раскладные столы икеа
0	мюнхен	мюнхен	мюнхен фильм
0	Тюльпан	тюльпан	тюльпан оригами
0	дельн	дельн	гросс дельн
0	шкафчики в ванную	шкафчики в ванную	шкафчики в ванную комнату
0	кофе тайм	кофе тайм	кофе тайм меню
1	кресло для комп	кресло для компа	кресло для компа
0	Акции	акции	акции в пятёрочке
0	Пу	пу	пу и
0	кодон	кодон	кодон это
0	С 6	с 6	с 6 месяцами
1	Мики	микки	микки маус клуб
0	ДВУХЯРУСНАЯ КРОВАТЬ	двухярусная кровать	двухярусная кровать икея
0	геридон	геридон	геридон это
0	Стеклянный шкаф для посуды	стеклянный шкаф для посуды	стеклянный шкаф для посуды
0	йога	йога	йога практика
0	лоя	лоя	лоя песни
0	М14	м14	м14 винтовка
0	п 5	п 5	п 5 ст 93 44 фз
2	Ширма деревянные	ширма деревянная	ширма деревянная
0	маргарита прихожая	маргарита прихожая	маргарита прихожая
0	фьюжн	фьюжн	фьюжн это
1	эмроли	эмполи	эмполи ювентус
0	7.21	7.21	7.21 коап
0	нео	нео	нео пенотран цена
0	кресло из ротанга	кресло из ротанга	кресло из ротанга купить
0	настенные полки	настенные полки	настенные полки фото
1	Н66	y66	y66 vivo features
0	7.15	7.15	7.15 пдд
1	модеро	модера	модера остров
1	Ненси	нэнси	нэнси дрю
2	Линолиуи	линолеум	купить линолеум
0	т-6	т-6	т-6 форма
1	карэ	каре	каре на ножке
2	вш-1	di-1	di-1 boss
1	машенька 2	машеньке 2	машеньке 2 годика
0	Кастрюля	кастрюля	кастрюля для индукционной плиты
0	км	км	км по биатлону 2018 19
0	Надувной диван ламзак	надувной диван ламзак	надувной диван ламзак как надуть
0	тумба корвет	тумба корвет	тумба корвет
2	диван атлант угловой	диван атлантик угловой	диван атлантик угловой отзывы
1	кованая кровать-диван	кованая кровать-диван	кованая кровать диван
0	кровать без подъёмного механизма	кровать без подъёмного механизма	кровать без подъёмного механизма морена
1	11В	11d	11d размер
0	этажерка	этажерка	этажерка для обуви
0	Костомукша	костомукша	костомукша время
2	Шк-1	ir-1	ir-1 nist
0	диваны орматек	диваны орматек	диваны орматек отзывы
0	tv	tv	tv online
